,marketLineId,isBlurred,marketId,marketSourceId,points,price,americanPrice,sourcePrice,sourceFormat,alternateNumber,statusId,sequenceNumber,overrideType,includePeg,stn,cr,ib,tm,createdOn,createdBy,modifiedOn,modifiedBy,id,0,bet,eventId
si0:ms4:an0,218444949,FALSE,1447778,4,,115,115,2.15,2,0,1,1.67096E+12,,TRUE,0,115,TRUE,,2022-12-12T15:46:59.306408,-2,2022-12-13T20:32:28.085772,-2,,,bt1,31
si0:ms52:an0,218437931,FALSE,1447778,52,,132,132,132,1,0,1,1.67098E+12,,TRUE,0,132,FALSE,,2022-12-12T15:32:20.067047,-11,2022-12-14T01:21:13.906938,-11,,,bt1,31
si0:ms59:an0,218404994,FALSE,1447778,59,0,130,130,130,1,0,1,1.67096E+12,,TRUE,0,130,TRUE,,2022-12-12T14:24:40.330347,-42,2022-12-13T20:26:28.050315,-42,,,bt1,31
si0:ms66:an0,218425128,FALSE,1447778,66,0,128,128,128,1,0,1,1.67099E+12,,TRUE,0,128,TRUE,,2022-12-12T15:03:46.810446,-62,2022-12-14T03:18:53.682184,-62,,,bt1,31
si0:ms61:an0,,,,,,,,,,,,,,,,,,,,,,,,,bt1,31
si0:ms2:an0,211902294,FALSE,1447778,2,0,126,126,126,1,0,1,1.67097E+12,,TRUE,0,126,TRUE,,2022-12-06T21:43:50.508037,-20,2022-12-13T21:55:20.555702,-20,,,bt1,31
si0:ms28:an0,218469477,FALSE,1447778,28,0,125,125,2.25,2,0,1,1.67096E+12,,TRUE,0,125,TRUE,,2022-12-12T16:56:35.02095,-29,2022-12-13T20:47:55.766475,-29,,,bt1,31
si0:ms8:an0,218379875,FALSE,1447778,8,,125,125,125,1,0,1,1.67097E+12,,TRUE,0,125,TRUE,,2022-12-12T13:22:28.136451,-6,2022-12-13T21:33:35.912831,-6,,,bt1,31
si0:ms3:an0,218437933,FALSE,1447778,3,,130,130,130,1,0,1,1.67096E+12,,TRUE,0,130,TRUE,,2022-12-12T15:32:20.101017,-11,2022-12-13T20:26:38.816661,-11,,,bt1,31
si0:ms9:an0,218437927,FALSE,1447778,9,,124,124,124,1,0,1,1.67096E+12,,TRUE,0,124,TRUE,,2022-12-12T15:32:19.995593,-11,2022-12-13T20:27:28.663284,-11,,,bt1,31
si0:ms1:an0,218444797,FALSE,1447778,1,0,130,130,2.3,2,0,1,1.67097E+12,,TRUE,0,130,TRUE,,2022-12-12T15:46:49.468971,-25,2022-12-13T21:13:31.190229,-25,,,bt1,31
si0:ms7:an0,218437932,TRUE,1447778,7,,-110,-110,130,1,0,1,1.67098E+12,,TRUE,,,TRUE,,2022-12-12T15:32:20.083824,-11,2022-12-14T01:17:44.122703,-11,,,bt1,31
si0:ms6:an0,218425555,TRUE,1447778,6,,-110,-110,135,1,0,1,1.67097E+12,,TRUE,,,TRUE,,2022-12-12T15:04:25.432419,-16,2022-12-13T22:48:58.216726,-16,,,bt1,31
si0:ms27:an0,218444950,FALSE,1447778,27,,135,135,2.35,2,0,1,1.67096E+12,,TRUE,0,135,TRUE,,2022-12-12T15:46:59.343599,-2,2022-12-13T20:32:52.769424,-2,,,bt1,31
si0:ms11:an0,218395314,TRUE,1447778,11,,-110,-110,2.22222,2,0,1,1.67097E+12,,TRUE,,,FALSE,,2022-12-12T13:59:06.721469,-5,2022-12-13T21:12:10.083368,-5,,,bt1,31
si0:ms17:an0,218444947,FALSE,1447778,17,,135,135,2.35,2,0,1,1.67096E+12,,TRUE,0,135,TRUE,,2022-12-12T15:46:59.244031,-2,2022-12-13T20:31:47.767152,-2,,,bt1,31
si0:ms21:an0,219756747,FALSE,1447778,21,,120,120,120,1,0,1,1.67097E+12,,TRUE,0,120,TRUE,,2022-12-13T04:52:15.431973,-16,2022-12-13T22:41:58.798628,-16,,,bt1,31
si0:ms10:an0,218437928,FALSE,1447778,10,,130,130,130,1,0,1,1.67096E+12,,TRUE,0,130,TRUE,,2022-12-12T15:32:20.014043,-11,2022-12-13T20:32:38.477396,-11,,,bt1,31
si0:ms20:an0,218444951,FALSE,1447778,20,,135,135,2.35,2,0,1,1.67096E+12,,TRUE,0,135,TRUE,,2022-12-12T15:46:59.368006,-2,2022-12-13T20:32:28.097999,-2,,,bt1,31
si0:ms33:an0,218573742,FALSE,1447778,33,,127,127,2.27,2,0,1,1.67097E+12,,TRUE,0,127,TRUE,,2022-12-12T19:30:28.971356,-2,2022-12-13T21:11:47.109955,-2,,,bt1,31
si0:ms49:an0,218379889,TRUE,1447778,49,,-110,-110,0.425531915,4,0,1,1.67098E+12,,TRUE,,,FALSE,,2022-12-12T13:22:30.612514,-19,2022-12-14T01:17:45.044912,-19,,,bt1,31
si0:ms62:an0,,,,,,,,,,,,,,,,,,,,,,,,,bt1,31
si0:ms53:an0,218437930,FALSE,1447778,53,,124,124,124,1,0,1,1.67096E+12,,TRUE,0,124,TRUE,,2022-12-12T15:32:20.05028,-11,2022-12-13T20:27:08.936053,-11,,,bt1,31
si0:ms54:an0,218437934,FALSE,1447778,54,,124,124,124,1,0,1,1.67096E+12,,TRUE,0,124,TRUE,,2022-12-12T15:32:20.121025,-11,2022-12-13T20:26:59.199306,-11,,,bt1,31
si0:ms60:an0,218317441,FALSE,1447778,60,,125,125,2.25,2,0,1,1.67097E+12,,TRUE,0,125,TRUE,,2022-12-12T06:15:06.563577,-45,2022-12-13T21:55:20.889236,-45,,,bt1,31
si0:ms56:an0,218437936,FALSE,1447778,56,,130,130,130,1,0,1,1.67097E+12,,TRUE,0,130,TRUE,,2022-12-12T15:32:20.155828,-11,2022-12-13T21:07:33.347062,-11,,,bt1,31
si0:ms55:an0,219898951,FALSE,1447778,55,,130,130,130,1,0,1,1.67097E+12,,TRUE,0,130,TRUE,,2022-12-13T14:50:18.255783,-11,2022-12-13T23:14:53.336706,-11,,,bt1,31
si0:ms67:an0,218395841,FALSE,1447778,67,,135,135,425000,5,0,1,1.67096E+12,,TRUE,0,135,TRUE,,2022-12-12T14:00:12.782481,-65,2022-12-13T20:47:00.474014,-65,,,bt1,31
si0:ms31:an0,218437935,FALSE,1447778,31,,132,132,132,1,0,1,1.67096E+12,,TRUE,0,132,TRUE,,2022-12-12T15:32:20.138266,-11,2022-12-13T20:29:44.691743,-11,,,bt1,31
si1:ms66:an0,218425127,FALSE,1447777,66,0,-150,-150,-150,1,0,1,1.67099E+12,,TRUE,0,-150,TRUE,,2022-12-12T15:03:46.794297,-62,2022-12-14T03:19:14.124743,-62,,,bt1,31
si1:ms52:an0,218437921,FALSE,1447777,52,,-144,-144,-144,1,0,1,1.67098E+12,,TRUE,0,-144,FALSE,,2022-12-12T15:32:19.870669,-11,2022-12-14T01:36:24.132276,-11,,,bt1,31
si1:ms49:an0,218379888,TRUE,1447777,49,,-110,-110,0.573717304,4,0,1,1.67098E+12,,TRUE,,,FALSE,,2022-12-12T13:22:30.596322,-19,2022-12-14T01:17:45.025725,-19,,,bt1,31
si1:ms7:an0,218437922,TRUE,1447777,7,,-110,-110,-145,1,0,1,1.67098E+12,,TRUE,,,TRUE,,2022-12-12T15:32:19.887512,-11,2022-12-14T01:17:44.107322,-11,,,bt1,31
si1:ms33:an0,218573738,FALSE,1447777,33,,-149,-149,1.67,2,0,1,1.67097E+12,,TRUE,0,-149,TRUE,,2022-12-12T19:30:28.934006,-2,2022-12-13T21:11:47.080699,-2,,,bt1,31
si1:ms60:an0,218317437,FALSE,1447777,60,,-145,-145,1.69,2,0,1,1.67097E+12,,TRUE,0,-145,TRUE,,2022-12-12T06:15:06.52371,-45,2022-12-13T21:55:20.87473,-45,,,bt1,31
si1:ms28:an0,218469476,FALSE,1447777,28,0,-145,-145,1.689655172,2,0,1,1.67096E+12,,TRUE,0,-145,TRUE,,2022-12-12T16:56:35.001531,-29,2022-12-13T20:47:55.748793,-29,,,bt1,31
si1:ms20:an0,218444924,FALSE,1447777,20,,-161,-161,1.62,2,0,1,1.67096E+12,,TRUE,0,-161,TRUE,,2022-12-12T15:46:58.804231,-2,2022-12-13T20:32:28.043745,-2,,,bt1,31
si1:ms31:an0,218437925,FALSE,1447777,31,,-159,-159,-159,1,0,1,1.67096E+12,,TRUE,0,-159,TRUE,,2022-12-12T15:32:19.96049,-11,2022-12-13T20:29:44.675481,-11,,,bt1,31
si1:ms10:an0,218437917,FALSE,1447777,10,,-150,-150,-150,1,0,1,1.67096E+12,,TRUE,0,-150,TRUE,,2022-12-12T15:32:19.817947,-11,2022-12-13T20:32:38.464594,-11,,,bt1,31
si1:ms9:an0,218437915,FALSE,1447777,9,,-144,-144,-144,1,0,1,1.67096E+12,,TRUE,0,-144,TRUE,,2022-12-12T15:32:19.797811,-11,2022-12-13T20:27:28.647289,-11,,,bt1,31
si1:ms2:an0,211902293,FALSE,1447777,2,0,-148,-148,-148,1,0,1,1.67097E+12,,TRUE,0,-148,TRUE,,2022-12-06T21:43:50.450025,-20,2022-12-13T21:55:20.541621,-20,,,bt1,31
si1:ms3:an0,218437923,FALSE,1447777,3,,-150,-150,-150,1,0,1,1.67096E+12,,TRUE,0,-150,TRUE,,2022-12-12T15:32:19.926314,-11,2022-12-13T20:26:38.774526,-11,,,bt1,31
si1:ms21:an0,219756746,FALSE,1447777,21,,-154,-154,-154,1,0,1,1.67097E+12,,TRUE,0,-154,TRUE,,2022-12-13T04:52:15.417805,-16,2022-12-13T22:41:58.785877,-16,,,bt1,31
si1:ms1:an0,218444796,FALSE,1447777,1,0,-150,-150,1.66666667,2,0,1,1.67097E+12,,TRUE,0,-150,TRUE,,2022-12-12T15:46:49.452061,-25,2022-12-13T21:13:31.176755,-25,,,bt1,31
si1:ms53:an0,218437920,FALSE,1447777,53,,-144,-144,-144,1,0,1,1.67096E+12,,TRUE,0,-144,TRUE,,2022-12-12T15:32:19.85212,-11,2022-12-13T20:27:08.922608,-11,,,bt1,31
si1:ms56:an0,218437926,FALSE,1447777,56,,-150,-150,-150,1,0,1,1.67097E+12,,TRUE,0,-150,TRUE,,2022-12-12T15:32:19.977589,-11,2022-12-13T21:07:33.333581,-11,,,bt1,31
si1:ms8:an0,218379876,FALSE,1447777,8,,-145,-145,-145,1,0,1,1.67097E+12,,TRUE,0,-145,TRUE,,2022-12-12T13:22:28.23126,-6,2022-12-13T21:33:35.903187,-6,,,bt1,31
si1:ms11:an0,218395313,TRUE,1447777,11,,-110,-110,1.69491,2,0,1,1.67097E+12,,TRUE,,,FALSE,,2022-12-12T13:59:06.706279,-5,2022-12-13T21:12:10.071692,-5,,,bt1,31
si1:ms55:an0,219898950,FALSE,1447777,55,,-150,-150,-150,1,0,1,1.67097E+12,,TRUE,0,-150,TRUE,,2022-12-13T14:50:18.204125,-11,2022-12-13T23:14:53.323021,-11,,,bt1,31
si1:ms17:an0,218444920,FALSE,1447777,17,,-155,-155,1.64516,2,0,1,1.67096E+12,,TRUE,0,-155,TRUE,,2022-12-12T15:46:58.747172,-2,2022-12-13T20:31:47.698068,-2,,,bt1,31
si1:ms27:an0,218444923,FALSE,1447777,27,,-155,-155,1.64516,2,0,1,1.67096E+12,,TRUE,0,-155,TRUE,,2022-12-12T15:46:58.784784,-2,2022-12-13T20:32:52.717766,-2,,,bt1,31
si1:ms59:an0,218404993,FALSE,1447777,59,0,-150,-150,-150,1,0,1,1.67096E+12,,TRUE,0,-150,TRUE,,2022-12-12T14:24:40.298383,-42,2022-12-13T20:26:28.022359,-42,,,bt1,31
si1:ms67:an0,218395840,FALSE,1447777,67,,-144,-144,590000,5,0,1,1.67098E+12,,TRUE,0,-144,TRUE,,2022-12-12T14:00:12.768489,-65,2022-12-14T01:17:34.937628,-65,,,bt1,31
si1:ms54:an0,218437924,FALSE,1447777,54,,-144,-144,-144,1,0,1,1.67096E+12,,TRUE,0,-144,TRUE,,2022-12-12T15:32:19.943038,-11,2022-12-13T20:26:59.182657,-11,,,bt1,31
si1:ms6:an0,218425554,TRUE,1447777,6,,-110,-110,-154,1,0,1,1.67097E+12,,TRUE,,,TRUE,,2022-12-12T15:04:25.412796,-16,2022-12-13T22:48:58.205125,-16,,,bt1,31
si1:ms4:an0,218444922,FALSE,1447777,4,,-140,-140,1.71429,2,0,1,1.67096E+12,,TRUE,0,-140,TRUE,,2022-12-12T15:46:58.772355,-2,2022-12-13T20:32:28.030025,-2,,,bt1,31
si1:ms62:an0,,,,,,,,,,,,,,,,,,,,,,,,,bt1,31
si1:ms61:an0,,,,,,,,,,,,,,,,,,,,,,,,,bt1,31
